IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
30626 -120.019585 50.587082 1520 -13360519.000000 5631328.000000 1960 11 1.161000 1.189000 1.218000 1.274000 1.359000 1.402000 1.444000 1.487000 1.529000 1.600000 1.841000
1636 -116.142082 64.874580 4824 -12928877.000000 7221805.500000 1960 12 0.085000 0.102000 0.121000 0.145000 0.159000 0.159000 0.159000 0.173000 0.173000 0.173000 0.187000
3837 7.763750 50.083752 31703 864256.687500 5575297.500000 1960 12 3.115000 3.200000 4.163000 4.361000 4.389000 4.389000 4.531000 4.531000 4.573000 4.870000 4.955000
21213 -111.542084 33.694584 11029 -12416808.000000 3750864.000000 1961 2 2.480000 2.519000 2.610000 2.610000 2.712000 2.995000 3.431000 3.620000 4.040000 5.012000 6.130000
38192 145.025421 -37.786251 39758 16144156.000000 -4206346.000000 1961 2 0.074000 0.074000 0.079000 0.082000 0.172000 0.552000 0.943000 1.583000 2.653000 3.959000 14.923000
10228 -78.897087 33.851250 24268 -8782784.000000 3768304.000000 1961 3 215.000000 216.000000 216.000000 216.800003 220.800003 221.000000 227.000000 229.399994 232.000000 247.199997 257.000000
25933 -157.017914 21.096251 416 -17479154.000000 2348423.750000 1961 4 85.000000 91.199997 99.550003 101.000000 104.500000 108.500000 117.500000 119.500000 127.000000 138.000000 142.000000
788 -90.443748 43.200417 20143 -10068152.000000 4809048.500000 1961 4 76.000000 79.000000 79.900002 83.599998 87.300003 91.000000 93.000000 100.400002 112.099998 120.599998 146.000000
32893 -44.432083 -19.981251 27849 -4946157.000000 -2224302.750000 1961 5 4.984000 6.286000 7.277000 7.277000 7.419000 7.532000 7.532000 7.555000 7.960000 12.935000 13.847000
5728 26.861250 -33.354584 34134 2990180.750000 -3713015.250000 1961 6 0.006000 0.007000 0.242000 0.782000 1.135000 1.230000 1.240000 1.500000 1.515000 1.530000 1.590000
21492 -111.977081 38.750416 9201 -12465232.000000 4313676.500000 1961 7 2.226000 2.226000 2.400000 2.400000 2.624000 2.848000 2.848000 3.117000 4.215000 4.910000 6.440000
28765 -112.717087 51.471249 5014 -12547609.000000 5729753.000000 1961 7 0.164000 0.181000 0.227000 0.265000 0.280000 0.340000 0.368000 0.402000 0.524000 0.850000 1.303000
30714 -121.662086 51.055416 1409 -13543362.000000 5683463.000000 1961 7 32.280998 36.698002 39.077000 40.605999 41.625999 42.474998 45.391998 47.233002 49.271000 52.216000 62.014000
12475 -82.820419 40.548752 14049 -9219527.000000 4513866.500000 1961 8 0.088000 0.093000 0.096000 0.109000 0.118000 0.122000 0.127000 0.137000 0.157000 0.167000 0.173000
33241 -38.997082 -12.583750 30411 -4341135.500000 -1400816.625000 1961 8 0.051000 0.060000 0.074000 0.076000 0.085000 0.085000 0.101000 0.136000 0.251000 0.708000 6.739000
40795 141.519577 -34.141251 38084 15753887.000000 -3800586.750000 1961 8 0.023000 0.132000 0.188000 0.317000 0.507000 0.623000 0.878000 1.297000 2.328000 3.534000 5.267000
3249 25.445417 58.124584 32992 2832571.000000 6470399.000000 1961 9 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
37342 152.565414 -28.886250 37256 16983504.000000 -3215602.500000 1961 10 177.830002 184.059006 190.289001 193.404007 196.462006 206.996002 210.733994 220.587997 227.384003 231.065002 234.746002
5064 21.517916 46.627083 33286 2395363.500000 5190503.000000 1961 10 280.335999 289.963989 304.122009 326.209991 331.307007 339.802002 345.464996 345.464996 381.993988 483.651001 540.851013
6399 39.519585 9.669583 33424 4399300.000000 1076413.125000 1962 1 0.003000 0.005000 0.008000 0.017000 0.027000 0.038000 0.051000 0.079000 0.113000 0.164000 0.223000
20252 -108.312920 38.480415 9316 -12057339.000000 4283620.000000 1962 2 0.279000 0.292000 0.314000 0.322000 0.335000 0.338000 0.354000 0.373000 0.395000 0.415000 0.446000
27589 -73.890419 47.537083 21545 -8225444.000000 5291804.000000 1962 2 0.214000 0.221000 0.222000 0.224000 0.225000 0.227000 0.229000 0.232000 0.240000 0.247000 0.254000
