IDs Xsnap Ysnap IDr Xcoord Ycoord YYYY MM QMIN Q10 Q20 Q30 Q40 Q50 Q60 Q70 Q80 Q90 QMAX
40160 115.048752 -34.009583 35416 12807168.000000 -3785929.500000 1962 2 3.370000 3.370000 3.450000 3.612000 3.710000 3.790000 3.931000 4.050000 4.130000 4.363000 4.560000
11181 -82.559586 30.681250 18991 -9190491.000000 3415421.000000 1962 9 1.133000 1.260000 1.288000 1.303000 1.331000 1.430000 1.586000 1.741000 2.336000 3.200000 4.786000
6554 1.194583 10.715417 32615 132980.406250 1192834.750000 1962 10 1.614000 1.614000 1.634000 1.642000 1.671000 1.671000 1.699000 1.699000 1.736000 1.795000 1.954000
3033 2.846250 44.399582 32446 316843.093750 4942539.000000 1962 12 0.368000 0.368000 0.368000 0.368000 0.479000 0.481000 0.510000 0.510000 0.510000 0.549000 0.566000
12244 -82.000420 40.120419 14240 -9128245.000000 4466184.500000 1963 1 3.115000 3.115000 3.256000 3.256000 3.398000 3.823000 3.964000 4.219000 4.607000 5.312000 98.825996
38135 145.463745 -38.064583 39934 16192950.000000 -4237330.000000 1963 3 9.061000 9.911000 11.327000 13.932000 18.518999 36.812000 100.807999 106.471001 112.135002 120.063004 141.867004
2742 64.201248 34.134583 34434 7146850.500000 3799844.250000 1963 11 0.028000 0.034000 0.034000 0.034000 0.034000 0.034000 0.034000 0.035000 0.037000 0.037000 0.037000
4107 12.745417 48.880417 31831 1418813.250000 5441343.000000 1963 11 0.091000 0.091000 0.091000 0.091000 0.091000 0.093000 0.096000 0.096000 0.096000 0.096000 0.102000
30650 -119.758751 50.821251 5254 -13331483.000000 5657396.000000 1964 1 0.400000 0.432000 0.474000 0.514000 0.589000 0.670000 0.817000 1.664000 2.481000 7.188000 18.950001
13523 -86.064583 35.462917 16682 -9580666.000000 3947714.000000 1964 3 0.460000 0.518000 0.530000 0.554000 0.560000 0.600000 0.690000 1.096000 1.240000 1.272000 1.780000
18469 -89.844582 33.523750 17873 -10001453.000000 3731846.750000 1964 3 10.197000 10.764000 12.125000 14.722000 17.128000 18.691999 24.777000 72.825996 128.955994 335.270996 529.525024
28735 -113.796249 52.355415 4842 -12667741.000000 5828178.000000 1964 5 1.727000 1.994000 2.684000 3.715000 4.689000 5.182000 6.196000 6.875000 7.561000 9.413000 12.856000
13904 -85.762917 42.902916 20352 -9547084.000000 4775931.000000 1964 8 1.665000 1.665000 1.713000 1.776000 1.844000 1.922000 2.001000 2.287000 2.642000 2.908000 2.908000
38114 145.221252 -38.032917 39912 16165956.000000 -4233805.000000 1964 8 0.280000 0.283000 0.311000 0.311000 0.340000 0.340000 0.396000 0.402000 0.442000 0.600000 0.793000
9687 -79.176247 38.992085 23468 -8813859.000000 4340579.000000 1964 9 0.224000 0.229000 0.235000 0.249000 0.263000 0.278000 0.283000 0.311000 0.368000 0.439000 0.538000
15485 -89.049583 40.115417 14244 -9912954.000000 4465628.000000 1964 11 0.071000 0.111000 0.131000 0.150000 0.155000 0.157000 0.197000 0.218000 0.234000 0.263000 0.474000
23448 -122.684586 46.575417 2473 -13657186.000000 5184751.500000 1964 11 6.373000 6.373000 6.978000 8.915000 10.061000 11.263000 12.010000 14.095000 16.573999 26.858999 38.926998
